# nof_control_points  dimension  delta_t  T_period
84  3  0.04  0.8
# control_point_x  control_point_y  control_point_z
2.8931     0.17508           0
2.3359      1.4413    -0.08682
1.3394      2.3337    -0.07323
0.093153      2.7737    -0.19816
-1.2069      2.3751           0
-2.1069      1.3751           0
-2.4631    0.086591    -0.19114
-2.067     -1.1468    -0.17945
-1.1353     -2.0041    -0.09707
0.093136     -2.5249           0
1.3931     -2.1249           0
2.3596     -1.2036    -0.12066
2.8837     0.17491    -0.71358
2.3873      1.4718    -0.79848
1.3345      2.4323    -0.88041
0.093018      2.7758    -0.79994
-1.2647      2.4734      -0.812
-2.2289      1.4525    -0.80454
-2.6005     0.13932    -0.79992
-2.1704      -1.136    -0.82893
-1.2193      -2.063    -0.89551
0.068201     -2.5041    -0.77689
1.3607     -2.0631    -0.81606
2.335     -1.1785    -0.71399
2.8807    0.080549     -1.5963
2.4555       1.401     -1.5183
1.4379      2.3769     -1.6712
0.094879      2.7739     -1.5002
-1.2079      2.3183     -1.6935
-2.1824      1.3966     -1.6081
-2.6092    0.076084     -1.5085
-2.3133     -1.3242     -1.5776
-1.2416     -2.2751     -1.6871
0.097158     -2.4857     -1.5114
1.3186     -2.0854     -1.5183
2.3198     -1.2292     -1.5383
2.7157   -0.093083     -2.4837
2.2005      1.1526     -2.4074
1.1786      1.9208     -2.3088
0.016555      2.2348     -2.3261
-1.1827       1.985      -2.407
-2.1903       1.142     -2.3235
-2.5908    -0.12292     -2.4982
-2.2865     -1.4469     -2.4966
-1.3063     -2.3744     -2.3024
0.012783     -2.4979     -2.4869
1.1688     -2.0406     -2.4004
2.0817     -1.3096     -2.4835
2.685    -0.12882     -3.2016
2.1495      1.0911     -3.2929
1.0898      1.7667     -3.2058
0.0064421      2.0857     -3.2424
-1.1459       1.923     -3.2651
-2.0952      1.0787     -3.1934
-2.5659    -0.12999     -3.2236
-2.0728     -1.3484      -3.285
-1.1332     -2.1459     -3.2133
-0.00010589     -2.3671     -3.2773
1.0584       -2.03     -3.1979
2.0873      -1.372     -3.2786
2.377    -0.01784     -3.9894
1.8706      1.1184     -3.9116
0.90426        1.78     -4.0383
-0.15591      2.1054     -4.0817
-1.2965      1.9491     -4.0007
-2.2289      1.1238     -4.0805
-2.6009   -0.035082     -3.9872
-2.1966     -1.2402     -3.9268
-1.2525     -1.9479     -4.0801
-0.13842     -2.3098     -4.0027
0.96679     -1.9655     -4.0186
1.8412     -1.2064     -3.9204
2.1924    0.057867     -4.7089
1.5031      1.0629     -4.7089
0.60615      1.5416     -4.7517
-0.31091      1.6386     -4.7534
-1.1961      1.5191     -4.7037
-1.6069     0.77508        -4.8
-2.0862   0.0063693     -4.7506
-1.8069    -0.82492        -4.8
-1.2069     -1.5249        -4.8
-0.30686     -1.9249        -4.8
0.83676     -1.9825     -4.7161
1.8537     -1.2269     -4.7099
# control_point_x  control_point_y  control_point_z
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
